iter	Passed	Remaining
0	143	143263
1	143	71815
2	144	47995
3	144	36091
4	145	28935
5	146	24260
6	147	20923
7	148	18431
8	150	16523
9	151	14976
10	152	13708
11	153	12642
12	154	11731
13	155	10961
14	156	10290
15	157	9692
16	158	9165
17	159	8699
18	160	8285
19	161	7917
20	162	7577
21	163	7270
22	164	6984
23	165	6728
24	166	6488
25	167	6263
26	168	6058
27	169	5873
28	170	5701
29	171	5538
30	172	5384
31	173	5236
32	174	5103
33	175	4973
34	176	4854
35	176	4735
36	177	4620
37	178	4511
38	179	4412
39	179	4316
40	180	4230
41	181	4139
42	182	4056
43	183	3978
44	183	3899
45	184	3823
46	184	3750
47	185	3683
48	186	3615
49	186	3549
50	187	3486
51	187	3425
52	188	3366
53	188	3308
54	189	3254
55	189	3202
56	190	3152
57	191	3105
58	191	3059
59	192	3013
60	192	2970
61	193	2930
62	194	2890
63	194	2851
64	195	2813
65	196	2776
66	196	2740
67	197	2702
68	197	2670
69	198	2636
70	199	2603
71	199	2573
72	200	2542
73	200	2512
74	201	2484
75	202	2458
76	202	2431
77	203	2406
78	204	2380
79	204	2354
80	205	2331
81	206	2309
82	207	2287
83	207	2265
84	208	2242
85	209	2222
86	209	2198
87	210	2177
88	210	2156
89	211	2136
90	211	2116
91	212	2095
92	212	2076
93	213	2057
94	214	2038
95	214	2021
96	215	2004
97	216	1988
98	216	1972
99	217	1956
100	218	1940
101	218	1922
102	219	1908
103	219	1893
104	220	1879
105	221	1864
106	221	1850
107	222	1836
108	223	1824
109	223	1810
110	224	1796
111	225	1784
112	225	1771
113	226	1758
114	226	1744
115	227	1731
116	227	1719
117	228	1706
118	228	1693
119	229	1681
120	229	1669
121	230	1658
122	230	1645
123	231	1633
124	231	1623
125	232	1614
126	233	1604
127	233	1593
128	234	1583
129	235	1575
130	236	1566
131	236	1557
132	237	1549
133	238	1539
134	238	1529
135	239	1520
136	239	1511
137	240	1502
138	241	1493
139	241	1485
140	242	1477
141	243	1469
142	243	1461
143	244	1454
144	245	1446
145	246	1438
146	246	1431
147	247	1423
148	247	1415
149	248	1408
150	249	1401
151	249	1393
152	250	1386
153	251	1379
154	251	1373
155	252	1365
156	253	1358
157	253	1352
158	254	1345
159	255	1339
160	255	1333
161	256	1326
162	257	1320
163	257	1314
164	258	1308
165	259	1301
166	259	1294
167	260	1288
168	260	1281
169	261	1275
170	261	1269
171	262	1263
172	262	1257
173	263	1251
174	264	1245
175	264	1239
176	265	1234
177	266	1228
178	266	1223
179	267	1217
180	267	1210
181	267	1204
182	268	1199
183	269	1194
184	269	1189
185	270	1184
186	271	1179
187	271	1174
188	272	1169
189	273	1164
190	273	1159
191	274	1153
192	274	1148
193	275	1143
194	275	1138
195	276	1133
196	276	1128
197	277	1123
198	277	1118
199	278	1113
200	279	1109
201	279	1104
202	280	1099
203	280	1095
204	281	1090
205	281	1086
206	282	1081
207	282	1076
208	283	1072
209	283	1068
210	284	1063
211	284	1059
212	285	1054
213	286	1050
214	286	1046
215	287	1042
216	287	1038
217	288	1035
218	289	1031
219	289	1027
220	290	1024
221	291	1020
222	291	1016
223	292	1012
224	292	1008
225	293	1005
226	294	1001
227	294	997
228	295	994
229	295	990
230	296	987
231	297	984
232	298	981
233	298	978
234	299	974
235	299	971
236	300	967
237	301	963
238	301	960
239	302	956
240	302	953
241	303	949
242	303	946
243	304	942
244	304	939
245	305	935
246	305	932
247	306	928
248	306	925
249	307	922
250	307	919
251	308	915
252	309	912
253	309	909
254	310	906
255	310	903
256	311	899
257	311	897
258	312	894
259	313	891
260	314	889
261	314	886
262	315	883
263	315	880
264	316	878
265	317	875
266	317	872
267	318	870
268	319	867
269	319	864
270	320	862
271	321	859
272	321	856
273	322	853
274	322	850
275	323	848
276	323	845
277	324	842
278	325	839
279	325	837
280	326	834
281	326	831
282	327	829
283	328	827
284	328	824
285	329	822
286	330	819
287	330	817
288	331	815
289	332	812
290	332	810
291	333	808
292	333	805
293	334	803
294	335	801
295	335	798
296	336	796
297	336	793
298	337	791
299	338	789
300	338	787
301	339	784
302	340	782
303	340	780
304	341	778
305	342	776
306	342	773
307	343	771
308	343	768
309	344	766
310	344	764
311	345	761
312	346	759
313	346	757
314	347	755
315	347	752
316	348	750
317	348	748
318	349	746
319	350	743
320	350	741
321	351	739
322	351	736
323	352	734
324	352	732
325	353	730
326	353	728
327	354	726
328	354	723
329	355	721
330	356	719
331	356	717
332	357	715
333	357	713
334	358	711
335	358	709
336	359	707
337	360	705
338	360	703
339	361	701
340	362	699
341	362	698
342	363	696
343	364	694
344	364	692
345	365	690
346	366	688
347	366	687
348	367	685
349	368	683
350	368	681
351	369	680
352	370	678
353	370	676
354	371	675
355	372	673
356	373	671
357	373	670
358	374	668
359	374	666
360	375	664
361	376	663
362	376	661
363	377	659
364	378	657
365	378	655
366	379	654
367	379	652
368	380	650
369	380	648
370	381	646
371	382	644
372	382	643
373	383	641
374	383	639
375	384	638
376	385	636
377	385	634
378	386	632
379	386	630
380	387	629
381	387	627
382	388	625
383	389	624
384	389	622
385	390	620
386	390	618
387	391	617
388	392	615
389	392	614
390	393	612
391	394	611
392	394	609
393	395	607
394	396	606
395	396	605
396	397	603
397	398	602
398	398	600
399	399	599
400	400	597
401	400	596
402	401	594
403	401	593
404	402	591
405	403	589
406	403	588
407	404	586
408	404	584
409	405	583
410	406	581
411	406	580
412	407	578
413	407	577
414	408	575
415	409	574
416	409	573
417	410	571
418	411	570
419	411	568
420	412	567
421	413	566
422	414	564
423	414	563
424	415	562
425	416	560
426	416	559
427	417	557
428	417	556
429	418	554
430	419	553
431	419	551
432	420	550
433	420	548
434	421	547
435	421	545
436	422	544
437	423	542
438	423	541
439	424	540
440	424	538
441	425	537
442	425	535
443	426	534
444	427	532
445	427	531
446	428	529
447	428	528
448	429	526
449	429	525
450	430	523
451	431	522
452	431	521
453	432	520
454	433	518
455	433	517
456	434	516
457	434	514
458	435	513
459	436	512
460	436	510
461	437	509
462	438	508
463	438	506
464	439	505
465	440	504
466	440	502
467	441	501
468	441	500
469	442	498
470	442	497
471	443	495
472	443	494
473	444	493
474	444	491
475	445	490
476	446	489
477	446	487
478	447	486
479	448	485
480	448	484
481	449	483
482	450	481
483	450	480
484	451	479
485	451	477
486	452	476
487	453	475
488	453	474
489	454	473
490	455	471
491	455	470
492	456	469
493	456	468
494	457	466
495	458	465
496	458	464
497	459	462
498	459	461
499	460	460
500	460	459
501	461	457
502	462	456
503	462	455
504	463	454
505	464	453
506	465	452
507	465	451
508	466	449
509	466	448
510	467	447
511	468	446
512	468	444
513	469	443
514	469	442
515	470	441
516	470	439
517	471	438
518	471	437
519	472	436
520	472	434
521	473	433
522	473	432
523	474	431
524	475	429
525	475	428
526	476	427
527	476	426
528	477	424
529	477	423
530	478	422
531	479	421
532	479	420
533	480	419
534	480	417
535	481	416
536	482	415
537	482	414
538	483	413
539	484	412
540	485	411
541	485	410
542	486	409
543	487	408
544	488	407
545	488	406
546	489	405
547	489	404
548	490	402
549	490	401
550	491	400
551	492	399
552	492	398
553	493	397
554	494	396
555	494	394
556	495	393
557	495	392
558	496	391
559	497	390
560	497	389
561	498	388
562	498	387
563	499	386
564	500	385
565	501	384
566	501	383
567	502	382
568	503	381
569	503	380
570	504	379
571	505	378
572	505	377
573	506	376
574	507	375
575	508	374
576	508	373
577	509	372
578	510	371
579	511	370
580	512	369
581	512	368
582	513	367
583	513	365
584	514	364
585	514	363
586	515	362
587	516	361
588	516	360
589	517	359
590	517	358
591	518	357
592	519	356
593	520	355
594	521	354
595	521	353
596	522	352
597	523	351
598	523	350
599	524	349
600	525	348
601	526	348
602	527	347
603	527	346
604	528	345
605	529	344
606	529	343
607	530	342
608	531	340
609	531	339
610	532	338
611	532	337
612	533	336
613	533	335
614	534	334
615	535	333
616	535	332
617	536	331
618	537	330
619	537	329
620	538	328
621	539	327
622	539	326
623	540	325
624	541	324
625	542	323
626	542	322
627	543	321
628	543	320
629	544	319
630	545	318
631	545	317
632	546	316
633	547	315
634	547	314
635	548	313
636	548	312
637	549	311
638	549	310
639	550	309
640	550	308
641	551	307
642	551	306
643	552	305
644	553	304
645	553	303
646	554	302
647	554	301
648	555	300
649	555	299
650	556	298
651	556	297
652	557	296
653	557	295
654	558	294
655	558	293
656	559	291
657	559	290
658	560	289
659	560	288
660	561	288
661	562	287
662	563	286
663	564	285
664	564	284
665	565	283
666	566	282
667	566	281
668	567	280
669	568	279
670	568	278
671	569	278
672	570	277
673	570	276
674	571	275
675	572	274
676	572	273
677	573	272
678	574	271
679	574	270
680	575	269
681	575	268
682	576	267
683	576	266
684	577	265
685	578	264
686	578	263
687	579	262
688	579	261
689	580	260
690	581	259
691	581	259
692	582	258
693	583	257
694	584	256
695	584	255
696	585	254
697	585	253
698	586	252
699	586	251
700	587	250
701	588	249
702	588	248
703	589	247
704	589	246
705	590	245
706	590	244
707	591	243
708	592	243
709	592	242
710	593	241
711	594	240
712	595	239
713	595	238
714	596	237
715	596	236
716	597	235
717	597	234
718	598	233
719	598	232
720	599	231
721	600	231
722	600	230
723	601	229
724	601	228
725	602	227
726	602	226
727	603	225
728	603	224
