iter	Passed	Remaining
0	136	135951
1	136	68320
2	137	45745
3	138	34400
4	138	27582
5	139	23049
6	139	19795
7	140	17377
8	140	15515
9	141	14005
10	142	12777
11	142	11738
12	143	10873
13	143	10121
14	144	9464
15	144	8890
16	145	8388
17	145	7940
18	146	7540
19	146	7179
20	147	6858
21	147	6561
22	148	6290
23	148	6038
24	148	5810
25	149	5616
26	150	5420
27	150	5239
28	151	5074
29	152	4915
30	152	4770
31	153	4634
32	164	4809
33	164	4682
34	165	4563
35	166	4450
36	166	4340
37	167	4241
38	168	4141
39	168	4047
40	169	3958
41	169	3875
42	170	3795
43	171	3720
44	171	3648
45	172	3578
46	173	3512
47	173	3447
48	174	3387
49	175	3326
50	175	3271
51	176	3215
52	177	3166
53	177	3114
54	178	3063
55	178	3014
56	179	2965
57	179	2920
58	180	2879
59	181	2837
60	181	2795
61	182	2754
62	182	2715
63	183	2677
64	183	2639
65	184	2603
66	184	2569
67	185	2535
68	185	2504
69	186	2474
70	186	2445
71	187	2415
72	188	2387
73	188	2359
74	189	2331
75	189	2304
76	190	2278
77	190	2252
78	191	2228
79	191	2204
80	192	2180
81	192	2157
82	192	2132
83	193	2110
84	193	2088
85	194	2067
86	195	2047
87	195	2029
88	196	2009
89	196	1990
90	197	1972
91	197	1953
92	198	1935
93	198	1916
94	199	1899
95	199	1882
96	200	1865
97	200	1848
98	201	1832
99	202	1819
100	202	1805
101	203	1793
102	204	1780
103	205	1767
104	205	1754
105	206	1741
106	207	1728
107	207	1714
108	208	1701
109	208	1689
110	209	1676
111	209	1664
112	210	1652
113	211	1641
114	211	1629
115	212	1618
116	212	1606
117	213	1595
118	213	1584
119	214	1573
120	215	1562
121	215	1550
122	215	1539
123	216	1529
124	217	1520
125	217	1510
126	218	1500
127	218	1490
128	219	1480
129	219	1471
130	220	1461
131	220	1451
132	221	1442
133	221	1433
134	222	1424
135	222	1415
136	223	1406
137	223	1397
138	224	1389
139	224	1380
140	225	1372
141	225	1363
142	226	1356
143	226	1348
144	227	1340
145	227	1333
146	228	1325
147	228	1318
148	229	1310
149	229	1303
150	230	1295
151	231	1289
152	231	1282
153	232	1276
154	232	1270
155	233	1264
156	234	1258
157	235	1252
158	235	1246
159	236	1239
160	236	1231
161	236	1225
162	237	1219
163	237	1212
164	238	1206
165	238	1200
166	239	1194
167	239	1188
168	240	1182
169	241	1177
170	241	1172
171	242	1168
172	243	1163
173	243	1158
174	244	1152
175	245	1147
176	245	1143
177	246	1138
178	247	1135
179	248	1131
180	249	1127
181	250	1123
182	250	1119
183	251	1114
184	251	1109
185	252	1105
186	253	1101
187	254	1097
188	254	1093
189	255	1089
190	256	1086
191	257	1082
192	257	1078
193	258	1074
194	259	1070
195	259	1065
196	260	1061
197	260	1056
198	261	1052
199	262	1049
200	262	1045
201	263	1040
202	264	1036
203	264	1032
204	265	1028
205	265	1023
206	266	1019
207	266	1015
208	267	1011
209	267	1006
210	268	1002
211	268	998
212	269	994
213	269	990
214	270	986
215	270	983
216	271	980
217	272	977
218	273	974
219	273	970
